CATEGORY 3.1,,,,,,,,,,,,,,,,,,,,,
Scopus search query:,,,"TITLE-ABS-KEY ( ( ( ""PointNet"" OR ""PointNet++"" OR ""PointCNN"" OR ""DGCNN"" OR ""KPConv"" OR ""PointConv"" OR ""Point transformer"" OR ""ShellNet"" OR ""PointBERT"" OR ""CurverNet"" OR ""Self organizing network"" ) AND ( ""3D data"" OR ""pointcloud"" OR ""point cloud"" ) AND ( ""construction industry"" OR ""building"" OR ""AEC"" OR ""BIM"" ) ) ) AND PUBYEAR > 2007 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
Mao Y.; Chen K.; Diao W.; Sun X.; Lu X.; Fu K.; Weinmann M.,"Mao, Yongqiang (57563850100); Chen, Kaiqiang (57200269572); Diao, Wenhui (56816620400); Sun, Xian (34875643000); Lu, Xiaonan (57226744637); Fu, Kun (7202283802); Weinmann, Martin (55818523800)",57563850100; 57200269572; 56816620400; 34875643000; 57226744637; 7202283802; 55818523800,Beyond single receptive field: A receptive field fusion-and-stratification network for airborne laser scanning point cloud classification,2022,ISPRS Journal of Photogrammetry and Remote Sensing,188,,,45,61,16,23,10.1016/j.isprsjprs.2022.03.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127674857&doi=10.1016%2fj.isprsjprs.2022.03.019&partnerID=40&md5=84db7e9ad1c69e201d78be1aed5e3d52,"The classification of airborne laser scanning (ALS) point clouds is a critical task of remote sensing and photogrammetry fields. Although recent deep learning-based methods have achieved satisfactory performance, they have ignored the unicity of the receptive field, which makes the ALS point cloud classification remain challenging for the distinguishment of the areas with complex structures and extreme scale variations. In this article, for the objective of configuring multi-receptive field features, we propose a novel receptive field fusion-and-stratification network (RFFS-Net). With a novel dilated graph convolution (DGConv) and its extension annular dilated convolution (ADConv) as basic building blocks, the receptive field fusion process is implemented with the dilated and annular graph fusion (DAGFusion) module, which obtains multi-receptive field feature representation through capturing dilated and annular graphs with various receptive regions. The stratification of the receptive fields with point sets of different resolutions as the calculation bases is performed with Multi-level Decoders nested in RFFS-Net and driven by the multi-level receptive field aggregation loss (MRFALoss) to drive the network to learn in the direction of the supervision labels with different resolutions. With receptive field fusion-and-stratification, RFFS-Net is more adaptable to the classification of regions with complex structures and extreme scale variations in large-scale ALS point clouds. Evaluated on the ISPRS Vaihingen 3D dataset, our RFFS-Net significantly outperforms the baseline (i.e. PointConv) approach by 5.3% on mF1 and 5.4% on mIoU, accomplishing an overall accuracy of 82.1%, an mF1 of 71.6%, and an mIoU of 58.2%. The experiments show that our RFFS-Net achieves a new state-of-the-art classification performance on powerline, car, and fence classes. Furthermore, experiments on the LASDU dataset and the 2019 IEEE-GRSS Data Fusion Contest dataset show that RFFS-Net achieves a new state-of-the-art classification performance. The code is available at github.com/WingkeungM/RFFS-Net. © 2022 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS)",Airborne laser scanning; Classification; Deep learning; Dilated graph convolution; Multi-scale receptive fields; Point cloud,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85127674857
Hu C.; Zhang Y.; Xia G.; Liu X.; Ma X.,"Hu, Chunmei (56286854500); Zhang, Yunhui (58177375400); Xia, Guofang (57202046543); Liu, Xi (57416267800); Ma, Xinjian (57742575700)",56286854500; 58177375400; 57202046543; 57416267800; 57742575700,Automatic Classification of Ancient Building Components Based on PointNet++,2022,"Proceedings - 2022 International Conference on Artificial Intelligence, Information Processing and Cloud Computing, AIIPCC 2022",,,,99,103,4,0,10.1109/AIIPCC57291.2022.00029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152123513&doi=10.1109%2fAIIPCC57291.2022.00029&partnerID=40&md5=3195d0065919be3d840f9b529af5d59d,"In order to preserve the Forbidden City buildings., a dataset of wooden components of ancient buildings based on the point cloud of ancient buildings., combining the current state model with the standard model., is proposed., and the improved PointNet++ algorithm for point cloud deep learning is applied to train the dataset., and the training strategy is optimised with Adam W and cross-entropy loss function with label smoothing, and the PointNet++ network is found to be applicable through comparative experiments The dataset production method is found to be suitable for PointNet++ network through comparison experiments. The large number of samples required for model training is difficult and costly to collect, limiting its widespread use. The improved PointNet++ has better segmentation accuracy than the original method, and is able to automatically segment the 3D point clouds of wooden elements of ancient buildings using a small dataset containing 70 rooms and 3198 samples. The experiments demonstrate that the segmentation accuracy of this research method has reached 87.79%, which verifies the effectiveness of the improved algorithm, and the segmentation results can provide favourable data support for the digital conservation of ancient buildings. © 2022 IEEE.",3D point cloud segmentation; Deep learning; Forbidden City architecture; PointNet++; Wooden components,Conference paper,Final,,Scopus,2-s2.0-85152123513
Lee J.S.; Park J.; Ryu Y.-M.,"Lee, Jun S. (57219322809); Park, Jeongjun (57196405219); Ryu, Young-Moo (57208264065)",57219322809; 57196405219; 57208264065,Semantic segmentation of bridge components based on hierarchical point cloud model,2021,Automation in Construction,130,,103847,,,,27,10.1016/j.autcon.2021.103847,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111244902&doi=10.1016%2fj.autcon.2021.103847&partnerID=40&md5=ee009ad62c01831a85a3559acf8afe79,"Geometric information such as the volumetric dimensions and type of a bridge can be retrieved by means of a terrestrial laser scanner, and the point cloud (PC) data thus obtained can be used to build 3-dimensional (3D) objects such as bridge components in the Building Information Modeling (BIM) framework. For modeling of PC data, PointNet (Qi et al., 2018) and a graph-based convolutional neural network (GCNN) model known as dynamic GCNN (DGCNN; Wang et al., 2019) have been widely employed. In this study, a graph-based hierarchical DGCNN (HGCNN) model is proposed for more accurate and realistic representation of railway bridges having electric poles. The model obtains detailed local features by incrementally considering neighboring points while the total number of neighbors remains the same. Field application reveals that the proposed HGCNN model can represent tall components such as electric poles more precisely, while the overall accuracy of semantic segmentation is dominated by bulky components such as decks, so that the differences among the models (PointNet, DGCNN and HGCNN) are not significant. Specifically, the recall and intersection over union (IoU) rate of the electric pole were improved by about 3% when using the proposed model. A few parametric studies were also performed, and it was demonstrated that the proposed model with its expanded local features provides more precise information near the object boundaries. © 2021 Elsevier B.V.",Bridge components; Hierarchical graph neural network; Point cloud; Semantic segmentation,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85111244902
Zhai R.; Zou J.; He Y.; Meng L.,"Zhai, Ruoming (57538905400); Zou, Jingui (55222611800); He, Yifeng (57206937039); Meng, Liyuan (57190229367)",57538905400; 55222611800; 57206937039; 57190229367,IAGC: Interactive Attention Graph Convolution Network for Semantic Segmentation of Point Clouds in Building Indoor Environment,2022,ISPRS International Journal of Geo-Information,11,3,181,,,,1,10.3390/ijgi11030181,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126642105&doi=10.3390%2fijgi11030181&partnerID=40&md5=10c425b60f14150d1d22df12b18ec89b,"Point-based networks have been widely used in the semantic segmentation of point clouds owing to the powerful 3D convolution neural network (CNN) baseline. Most of the current methods resort to intermediate regular representations for reorganizing the structure of point clouds for 3D CNN networks, but they may neglect the inherent contextual information. In our work, we focus on capturing discriminative features with the interactive attention mechanism and propose a novel method consisting of the regional simplified dual attention network and global graph convolution network. Firstly, we cluster homogeneous points into superpoints and construct a superpoint graph to effectively reduce the computation complexity and greatly maintain spatial topological relations among superpoints. Secondly, we integrate cross-position attention and cross-channel attention into a single head attention module and design a novel interactive attention gating (IAG)-based multi-layer perceptron (MLP) network (IAG–MLP), which is utilized for the expansion of the receptive field and augmentation of discriminative features in local embeddings. Afterwards, the combina-tion of stacked IAG–MLP blocks and the global graph convolution network, called IAGC, is proposed to learn high-dimensional local features in superpoints and progressively update these local embeddings with the recurrent neural network (RNN) network. Our proposed framework is eval-uated on three indoor open benchmarks, and the 6-fold cross-validation results of the S3DIS dataset show that the local IAG–MLP network brings about 1% and 6.1% improvement in overall accuracy (OA) and mean class intersection-over-union (mIoU), respectively, compared with the PointNet local network. Furthermore, our IAGC network outperforms other CNN-based approaches in the ScanNet V2 dataset by at least 7.9% in mIoU. The experimental results indicate that the proposed method can better capture contextual information and achieve competitive overall performance in the semantic segmentation task. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Deep learning; Graph convolution; Point cloud; Self-attention mechanism; Semantic segmentation,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85126642105
Zhang Y.; Müller S.; Stephan B.; Gross H.-M.; Notni G.,"Zhang, Yan (57218471066); Müller, Steffen (57199400995); Stephan, Benedict (57235224200); Gross, Horst-Michael (7202668837); Notni, Gunther (7004204934)",57218471066; 57199400995; 57235224200; 7202668837; 7004204934,Point cloud hand–object segmentation using multimodal imaging with thermal and color data for safe robotic object handover,2021,Sensors,21,16,5676,,,,7,10.3390/s21165676,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113710202&doi=10.3390%2fs21165676&partnerID=40&md5=eb11aab08414dcd6f4f362a3981035c2,"This paper presents an application of neural networks operating on multimodal 3D data (3D point cloud, RGB, thermal) to effectively and precisely segment human hands and objects held in hand to realize a safe human–robot object handover. We discuss the problems encountered in building a multimodal sensor system, while the focus is on the calibration and alignment of a set of cameras including RGB, thermal, and NIR cameras. We propose the use of a copper–plastic chessboard calibration target with an internal active light source (near-infrared and visible light). By brief heating, the calibration target could be simultaneously and legibly captured by all cameras. Based on the multimodal dataset captured by our sensor system, PointNet, PointNet++, and RandLA-Net are utilized to verify the effectiveness of applying multimodal point cloud data for hand–object segmentation. These networks were trained on various data modes (XYZ, XYZ-T, XYZ-RGB, and XYZ-RGB-T). The experimental results show a significant improvement in the segmentation performance of XYZ-RGB-T (mean Intersection over Union: 82.8% by RandLA-Net) compared with the other three modes (77.3% by XYZ-RGB, 35.7% by XYZ-T, 35.7% by XYZ), in which it is worth mentioning that the Intersection over Union for the single class of hand achieves 92.6%. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Deep neural network; Hand segmentation; Multimodal imaging; Point cloud segmentation; Thermal,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85113710202
Ji Y.; Dong Y.; Hou M.; Qi Y.; Li A.,"Ji, Y. (57219031830); Dong, Y. (57194640723); Hou, M. (12773745000); Qi, Y. (57215818562); Li, A. (57204331975)",57219031830; 57194640723; 12773745000; 57215818562; 57204331975,An extraction method for roof point cloud of ancient building using deep learning framework,2021,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",46,M-1-2021,,321,327,6,1,10.5194/isprs-Archives-XLVI-M-1-2021-321-2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118569784&doi=10.5194%2fisprs-Archives-XLVI-M-1-2021-321-2021&partnerID=40&md5=efc92107e3b55e35830767fd1dc33acb,"Chinese ancient architecture is a valuable heritage wealth, especially for roof that reflects the construction age, structural features and cultural connotation. Point cloud data, as a flexible representation with characteristics of fast, precise, non-contact, plays a crucial role in a variety of applications for ancient architectural heritage, such as 3D fine reconstruction, HBIM, disaster monitoring etc. However, there are still many limitations in data editing tasks that need to be worked out manually, which is time-consuming, labor-intensive and error-prone. In recent years, the theoretical advance on deep learning has stimulated the development of various domains, and digital heritage is not in exception. Whenever, deep learning algorithm need to consume a huge amount of labeled date to achieve the purpose for segmentation, resulting a actuality that high labor costs also be acquired. In this paper, inspired by the architectural style similarity between mimetic model and real building, we proposed a method supported by deep learning, which aims to give a solution for the point cloud automatic extraction of roof structure. Firstly, to generate real point cloud, Baoguang Temple, unmanned Aerial Vehicle (UAV) is presented to obtain image collections that are subsequently processed by reconstruction technology. Secondly, a modified Dynamic Graph Convolutional Neural Network (DGCNN) which can learn local features with taking advantage of an edge attention convolution is trained using simulated data and additional attributes of geometric attributes. The mimetic data is sampled from 3DMAX model surface. Finally, we try to extract roof structure of ancient building from real point clouds scenes utilizing the trained model. The experimental results show that the proposed method can extract the rooftop structure from real scene of Baoguang, which illustrates not only effectiveness of approach but also a fact that the simulated source perform potential value when real point cloud datasets are scarce. © 2021 International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives. All Rights Reserved.",Ancient Building; Deep Learning; DGCNN; Point Cloud Segmentation; Roof Extraction,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85118569784
Wicaksono S.B.; Wibisono A.; Jatmiko W.; Gamal A.; Wisesa H.A.,"Wicaksono, Satria Bagus (57215319937); Wibisono, Ari (55625531300); Jatmiko, Wisnu (8568432600); Gamal, Ahmad (57200131887); Wisesa, Hanif Arief (57189234078)",57215319937; 55625531300; 8568432600; 57200131887; 57189234078,Semantic Segmentation on LiDAR Point Cloud in Urban Area using Deep Learning,2019,"2019 International Workshop on Big Data and Information Security, IWBIS 2019",,,8935882,63,66,3,8,10.1109/IWBIS.2019.8935882,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078035596&doi=10.1109%2fIWBIS.2019.8935882&partnerID=40&md5=5e8388307a1535754fa162d874e60b55,"Semantic segmentation in an urban area can be utilized to differentiate between various objects on LiDAR point cloud data. This research aims to distinguish between buildings object and non-buildings object by performing semantic segmentation on the LiDAR point cloud data. A deep learning method has been proven to achieve state-of-art performance on semantic segmentation task. Dynamic Graph Convolutional Neural Network (DGCNN) is used to perform semantic segmentation in this research. Two datasets from two different regions are used to perform semantic segmentation. The first dataset is retrieved from Margonda region in Depok, Indonesia, and the second dataset is retrieved from Dublin region in Ireland. The experiment shows that the deep learning method is capable of doing semantic segmentation on LiDAR point cloud data. When tested the first dataset achieved accuracy of 86,3% and mean IoU of 70,3%. The second dataset achieved accuracy of 81,9% and mean IoU of 65,2%. © 2019 IEEE.",Deep Learning; LiDAR; Point cloud; Semantic segmentation,Conference paper,Final,,Scopus,2-s2.0-85078035596
Xiong Z.; Wang T.,"Xiong, Zhaoyang (57222657552); Wang, Ting (57222653369)",57222657552; 57222653369,Research on BIM Reconstruction Method Using Semantic Segmentation Point Cloud Data Based on PointNet,2021,IOP Conference Series: Earth and Environmental Science,719,2,22042,,,,5,10.1088/1755-1315/719/2/022042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104772313&doi=10.1088%2f1755-1315%2f719%2f2%2f022042&partnerID=40&md5=ad7bd0571e5651669191e90fd011919c,"As the construction industry is shifting from the construction of new buildings to the maintenance and use of existing buildings in recent years, the demand for automated building information models (BIM) creation is increasing. This paper uses the deep learning network PointNet to perform semantic segmentation on the public S3DIS point cloud data set, which means to assign the same type of point cloud building components in the data set to the same label, and the bounding box algorithm is been used to obtain the outer contour parameters of the segmented point cloud building components. Finally, the Dynamo, which is one of the Revit plug-in, is used to perform parametric modeling according to the obtained parameters, and generates the BIM corresponding to the point cloud data set. The experimental results show that the method proposed in this paper can complete the parametric creation of BIM with high completeness based on the efficient segmentation of point clouds. © Published under licence by IOP Publishing Ltd.",Building Information Model; deep learning; dynamo parametric automatic modeling; point cloud,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85104772313
Bao R.; Palaniappan K.; Zhao Y.; Seetharaman G.; Zeng W.,"Bao, Rina (57218937647); Palaniappan, Kannappan (6701784534); Zhao, Yunxin (57203236668); Seetharaman, Guna (6701776440); Zeng, Wenjun (58083194000)",57218937647; 6701784534; 57203236668; 6701776440; 58083194000,GLSNet: Global and Local Streams Network for 3D Point Cloud Classification,2019,Proceedings - Applied Imagery Pattern Recognition Workshop,2019-October,,9174587,,,,5,10.1109/AIPR47015.2019.9174587,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090853143&doi=10.1109%2fAIPR47015.2019.9174587&partnerID=40&md5=fe1cc23bfa836e19280446a6fc983acf,"We propose a novel deep architecture for semantic labeling of 3D point clouds referred to as Global and Local Streams Network (GLSNet) which is designed to capture both global and local structures and contextual information for large scale 3D point cloud classification. Our GLSNet tackles a hard problem-large differences of object sizes in large-scale point cloud segmentation including extremely large objects like water, and small objects like buildings and trees, and we design a two-branch deep network architecture to decompose the complex problem to separate processing problems at global and local scales and then fuse their predictions. GLSNet combines the strength of Submanifold Sparse Convolutional Network [1] for learning global structure with the strength of PointNet++ [2] for incorporating local information.The first branch of GLSNet processes a full point cloud in the global stream, and it captures long range information about the geometric structure by using a U-Net structured Submanifold Sparse Convolutional Network (SSCN-U) architecture. The second branch of GLSNet processes a point cloud in the local stream, and it partitions 3D points into slices and processes one slice of the cloud at a time by using the PointNet ++ architecture. The two streams of information are fused by max pooling over their classification prediction vectors. Our results on the IEEE GRSS Data Fusion Contest Urban Semantic 3D, Track 4 (DFT4) [3] [4] [5] point cloud classification dataset have shown that GLSNet achieved performance gains of almost 4% in mIOU and 1% in overall accuracy over the individual streams on the held-back testing dataset.  © 2019 IEEE.",3D semantic segmentation; Global and local streams; Point clouds,Conference paper,Final,,Scopus,2-s2.0-85090853143
Zhang H.; Wang T.,"Zhang, Heng (58040130700); Wang, Tianyu (57211063379)",58040130700; 57211063379,An Efficient Method for Producing Deep Learning Point Cloud Datasets based on BIM 3D Model and Computer Simulation,2022,Proceedings of SPIE - The International Society for Optical Engineering,12474,,124740Z,,,,0,10.1117/12.2653608,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145433380&doi=10.1117%2f12.2653608&partnerID=40&md5=d7fece2f5f6ec86c0e7763cd981df706,"Currently, 3D deep learning based on point cloud data has become a research hotspot in the field of computer vision. However, the high cost of acquiring point cloud data, the tedious process of processing and labeling, and the scarcity of high-quality and suitable datasets have been the prominent problems faced by researchers. In this paper, we propose a method to quickly produce point cloud dataset based on BIM 3D model and computer simulation technology, including the steps of classifying and labeling BIM models, converting 3D object data formats, extracting point clouds using Pytorch3d and Open3d libraries, and improving efficiency through Revit secondary development and Dos batch processing. Finally, we demonstrate the effectiveness of the method by performing semantic segmentation experiments using Pointnet++ network and analyzed the impact of point cloud sampling density, sampling method and 3D model accuracy on the performance of virtual point cloud. As a digital twin of the real world, BIM models are a natural database with rich scenes and all kinds of elements. It is hoped that the method studied in this paper can help researchers to produce datasets applicable to their own research and provide help for the application of 3D deep learning techniques in engineering and other fields. © 2022 SPIE.",BIM; computer vision; deep learning; point cloud; synthetic dataset,Conference paper,Final,,Scopus,2-s2.0-85145433380
Shokri D.; Zaboli M.; Dolati F.; Homayouni S.,"Shokri, D. (57216336147); Zaboli, M. (57216337129); Dolati, F. (58080059600); Homayouni, S. (24070293900)",57216336147; 57216337129; 58080059600; 24070293900,POINTNET++ TRANSFER LEARNING FOR TREE EXTRACTION FROM MOBILE LIDAR POINT CLOUDS,2023,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",10,4/W1-2022,,721,727,6,0,10.5194/isprs-annals-X-4-W1-2022-721-2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146948168&doi=10.5194%2fisprs-annals-X-4-W1-2022-721-2023&partnerID=40&md5=c4e90d87fad6016f0c70a985639e6bc2,"Trees are an essential part of the natural and urban environment due to providing crucial benefits such as increasing air quality and wildlife habitats. Therefore, various remote sensing and photogrammetry technologies, including Mobile Laser Scanner (MLS), have been recently introduced for precise 3D tree mapping and modeling. The MLS provides densely 3D LiDAR point clouds from the surrounding, which results in measuring applicable information of trees like stem diameter or elevation. In this paper, a transfer learning procedure on the PointNet++ has been proposed for tree extraction. Initially, two steps of converting the MLS point clouds into same-length smaller sections and eliminating ground points have been conducted to overcome the massive volume of MLS data. The algorithm was tested on four LiDAR datasets ranging from challengeable urban environments containing multiple objects like tall buildings to railway surroundings. F1-Score accuracy was gained at around 93% and 98%, which showed the feasibility and efficiency of the proposed algorithm. Noticeably, the algorithms also measured geometrical information of extracted trees such as 2D coordinate space, height, stem diameter, and 3D boundary tree locations. © Author(s) 2023. CC BY 4.0 License.",Deep Learning Neural Network; LiDAR Point Clouds; Mobile Laser Scanner (MLS); PointNet++; Tree Extraction,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85146948168
Cao Y.; Scaioni M.,"Cao, Yuwei (57219026348); Scaioni, Marco (8261815100)",57219026348; 8261815100,3DLEB-net: Label-efficient deep learning-based semantic segmentation of building point clouds at LoD3 level,2021,Applied Sciences (Switzerland),11,19,8996,,,,10,10.3390/app11198996,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115910375&doi=10.3390%2fapp11198996&partnerID=40&md5=13abdc1063a3f06d8716011d7a2a51e8,"In current research, fully supervised Deep Learning (DL) techniques are employed to train a segmentation network to be applied to point clouds of buildings. However, training such networks requires large amounts of fine-labeled buildings’ point-cloud data, presenting a major challenge in practice because they are difficult to obtain. Consequently, the application of fully supervised DL for semantic segmentation of buildings’ point clouds at LoD3 level is severely limited. In order to reduce the number of required annotated labels, we proposed a novel label-efficient DL network that obtains per-point semantic labels of LoD3 buildings’ point clouds with limited supervision, named 3DLEB-Net. In general, it consists of two steps. The first step (Autoencoder, AE) is composed of a Dynamic Graph Convolutional Neural Network (DGCNN) encoder and a folding-based decoder. It is designed to extract discriminative global and local features from input point clouds by faithfully reconstructing them without any label. The second step is the semantic segmentation network. By supplying a small amount of task-specific supervision, a segmentation network is proposed for semantically segmenting the encoded features acquired from the pre-trained AE. Experimentally, we evaluated our approach based on the Architectural Cultural Heritage (ArCH) dataset. Compared to the fully supervised DL methods, we found that our model achieved state-of-the-art results on the unseen scenes, with only 10% of labeled training data from fully supervised methods as input. Moreover, we conducted a series of ablation studies to show the effectiveness of the design choices of our model. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",3D point cloud; Autoencoder; Label-efficient; LoD3 building; Unsupervised deep learning,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85115910375
Shen M.; Gao Y.; Qiu J.,"Shen, Meisheng (57220033009); Gao, Yan (57220039744); Qiu, Jingjun (57220032714)",57220033009; 57220039744; 57220032714,DbNet: Double-Ball Model for Processing Point Clouds,2020,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12221 LNCS,,,313,325,12,0,10.1007/978-3-030-61864-3_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096560640&doi=10.1007%2f978-3-030-61864-3_27&partnerID=40&md5=b24f3c6eda185b1827aea962a9376a1f,"Learning and understanding 3D point clouds with convolutional networks is challenging due to the irregular and unordered data format. Reviewing existing network models based on PointNet[13] and PointNet++[14], they resample in different regions and explore not enough due to the irregularity and sparsity of the geometric structures. In this paper, we proposed a double-ball model embedded in the hierarchical network(DbNet) that directly extracts the features from the point clouds. This method avoids overlapping and better captures the local neighborhood geometry of each point. Double-ball model has two key steps: double-ball query and building features graph. Double-ball query avoids the resampling problem caused by the simple ball query. Building features graph takes angular features and edge features of point clouds into consideration. This method has no requirements for translation and rotation with the object. We apply it to 3D shapes classification and segmentation. And experiments on two benchmarks show that the suggested network outperforms the models based on PointNet/PointNet++ and is able to provide state of the art results. © 2020, Springer Nature Switzerland AG.",Convolutional network; Double-ball model; Point clouds,Conference paper,Final,,Scopus,2-s2.0-85096560640
Kada M.,"Kada, M. (14052416300)",14052416300,3D RECONSTRUCTION OF SIMPLE BUILDINGS FROM POINT CLOUDS USING NEURAL NETWORKS WITH CONTINUOUS CONVOLUTIONS (CONVPOINT),2022,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",48,4/W4-2022,,61,66,5,2,10.5194/isprs-archives-XLVIII-4-W4-2022-61-2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140330601&doi=10.5194%2fisprs-archives-XLVIII-4-W4-2022-61-2022&partnerID=40&md5=daa7f8dc996401e1fb042d648c70ad78,"The automatic reconstruction of 3D building models from airborne laser scanning point clouds or aerial imagery data in a model-driven fashion most often consists of a recognition of standardized building primitives with typically rectangular footprints and parameterized roof shapes based on a pre-defined collection, and a parameter estimation so that the selected primitives best fit the input data. For more complex buildings that consist of multiple parts, several such primitives need to be combined. This paper focuses on the reconstruction of such simple buildings, and explores the potential of Deep Learning by presenting a neural network architecture that takes a 3D point cloud of a single building as input and outputs the geometric information needed to construct a 3D building model in half-space representation with up to four roof faces like saddleback, hip, and pyramid roof. The proposed neural network architecture consists of a roof face segmentation module implemented with continuous convolutions as used in ConvPoint, which performs feature extraction directly from a set of 3D points, and four PointNet modules that predict from sampled subsets of the feature-enriched points the presence of four roof faces and their slopes. Trained with the RoofN3D dataset, which contains roof point segmentations and geometric information for 3D reconstruction purposes for about 118,000 simple buildings, the neural network achieves a performance of about 80% intersection over union (IoU) for roof face segmentation, 1.8° mean absolute error (MAE) for roof slope angles, and 95% overall accuracy (OA) for predicting the presence of faces. Copyright © 2022 M. Kada.",3D; Buildings; City Modelling; Deep Learning; Neural Networks; Point Clouds; Reconstruction,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85140330601
Cennamo A.; Kaestner F.; Kummert A.,"Cennamo, Alessandro (57219118790); Kaestner, Florian (8646602200); Kummert, Anton (7003293794)",57219118790; 8646602200; 7003293794,A Neural Network Based System for Efficient Semantic Segmentation of Radar Point Clouds,2021,Neural Processing Letters,53,5,,3217,3235,18,3,10.1007/s11063-021-10544-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107386926&doi=10.1007%2fs11063-021-10544-4&partnerID=40&md5=897dfcb3dbdcafa80208b183cd8c6141,"The last decade has witnessed important advancements in the field of computer vision and scene understanding, enabling applications such us autonomous vehicles. Radar is a commonly adopted sensor in automotive industry, but its suitability to machine learning techniques still remains an open question. In this work, we propose a neural network (NN) based solution to efficiently process radar data. We introduce RadarPCNN, an architecture specifically designed for performing semantic segmentation on radar point clouds. It uses PointNet+ + as a building-block—enhancing the sampling stage with mean-shift—and an attention mechanism to fuse information. Additionally, we propose a machine learning radar pre-processing module that confers the network the ability to learn from radar features. We show that our solutions are effective, yielding superior performance than the state-of-the-art. © 2021, The Author(s).",Autonomous vehicle; Neural network; Point clouds; Radar,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85107386926
